==== Cards Database ====
Name: Giant, Elixir: 5, Attack: 80, Defence: 30, Health: 120, TripleDraftRole: WinCon, Role: WinCon, Rarity: Rare
Name: Freeze, Elixir: 4, Attack: 70, Defence: 50, Health: 0, TripleDraftRole: BigSpell, Role: BigSpell, Rarity: Epic
Name: Rocket, Elixir: 6, Attack: 85, Defence: 85, Health: 0, TripleDraftRole: BigSpell, Role: BigSpell, Rarity: Rare
Name: Musketeer, Elixir: 4, Attack: 60, Defence: 70, Health: 50, TripleDraftRole: AntiAir, Role: AntiAir, Rarity: Rare
Name: Witch, Elixir: 5, Attack: 75, Defence: 75, Health: 60, TripleDraftRole: AntiAir, Role: AntiAir, Rarity: Epic
Name: Zappies, Elixir: 4, Attack: 45, Defence: 80, Health: 45, TripleDraftRole: AntiAir, Role: AntiAir, Rarity: Rare
Name: ElectroWizard, Elixir: 4, Attack: 55, Defence: 65, Health: 50, TripleDraftRole: AntiAir, Role: AntiAir, Rarity: Legendary
Name: Hunter, Elixir: 4, Attack: 50, Defence: 70, Health: 55, TripleDraftRole: AntiAir, Role: AntiAir, Rarity: Epic
Name: Wizard, Elixir: 5, Attack: 70, Defence: 80, Health: 50, TripleDraftRole: AntiAir, Role: AntiAir, Rarity: Rare
Name: BabyDragon, Elixir: 4, Attack: 60, Defence: 60, Health: 60, TripleDraftRole: AntiAir, Role: AntiAir, Rarity: Epic
Name: InfernoDragon, Elixir: 4, Attack: 50, Defence: 70, Health: 60, TripleDraftRole: AntiAir, Role: AntiAir, Rarity: Legendary
Name: MagicArcher, Elixir: 4, Attack: 70, Defence: 60, Health: 40, TripleDraftRole: AntiAir, Role: AntiAir, Rarity: Legendary
Name: DartGoblin, Elixir: 3, Attack: 45, Defence: 45, Health: 30, TripleDraftRole: CheapAntiAir, Role: CheapAntiAir, Rarity: Rare
Name: Firecracker, Elixir: 3, Attack: 50, Defence: 35, Health: 35, TripleDraftRole: CheapAntiAir, Role: CheapAntiAir, Rarity: Common
Name: Archers, Elixir: 3, Attack: 35, Defence: 40, Health: 35, TripleDraftRole: CheapAntiAir, Role: CheapAntiAir, Rarity: Common
Name: MegaMinion, Elixir: 3, Attack: 30, Defence: 50, Health: 40, TripleDraftRole: CheapAntiAir, Role: CheapAntiAir, Rarity: Rare
Name: SpearGoblins, Elixir: 2, Attack: 30, Defence: 30, Health: 25, TripleDraftRole: CheapAntiAir, Role: CheapAntiAir, Rarity: Common
Name: Princess, Elixir: 3, Attack: 35, Defence: 35, Health: 30, TripleDraftRole: CheapAntiAir, Role: CheapAntiAir, Rarity: Legendary
Name: Bats, Elixir: 2, Attack: 30, Defence: 35, Health: 15, TripleDraftRole: CheapAntiAir, Role: CheapAntiAir, Rarity: Common
Name: Minions, Elixir: 3, Attack: 30, Defence: 40, Health: 30, TripleDraftRole: CheapAntiAir, Role: CheapAntiAir, Rarity: Common
Name: IceWizard, Elixir: 3, Attack: 15, Defence: 55, Health: 40, TripleDraftRole: CheapAntiAir, Role: CheapAntiAir, Rarity: Legendary
Name: CannonCart, Elixir: 5, Attack: 70, Defence: 75, Health: 75, TripleDraftRole: TankSupport, Role: HeavyTank, Rarity: Epic
Name: Bandit, Elixir: 3, Attack: 45, Defence: 30, Health: 45, TripleDraftRole: TankSupport, Role: MiniTank, Rarity: Legendary
Name: BossBandit, Elixir: 6, Attack: 85, Defence: 60, Health: 85, TripleDraftRole: TankSupport, Role: HeavyTank, Rarity: Legendary
Name: Bowler, Elixir: 5, Attack: 60, Defence: 80, Health: 80, TripleDraftRole: TankSupport, Role: HeavyTank, Rarity: Epic
Name: MegaKnight, Elixir: 7, Attack: 90, Defence: 80, Health: 110, TripleDraftRole: HeavyTank, Role: HeavyTank, Rarity: Legendary
Name: Bomber, Elixir: 2, Attack: 30, Defence: 40, Health: 30, TripleDraftRole: TankSupport, Role: Distraction, Rarity: Common
Name: NightWitch, Elixir: 4, Attack: 70, Defence: 50, Health: 55, TripleDraftRole: AntiTank, Role: MiniTank, Rarity: Legendary
Name: Sparky, Elixir: 6, Attack: 90, Defence: 70, Health: 75, TripleDraftRole: AntiTank, Role: HeavyTank, Rarity: Legendary
Name: PEKKA, Elixir: 7, Attack: 80, Defence: 100, Health: 100, TripleDraftRole: AntiTank, Role: HeavyTank, Rarity: Epic
Name: MiniPEKKA, Elixir: 4, Attack: 50, Defence: 70, Health: 70, TripleDraftRole: AntiTank, Role: HeavyTank, Rarity: Rare
Name: EliteBarbarians, Elixir: 6, Attack: 80, Defence: 75, Health: 75, TripleDraftRole: AntiTank, Role: HeavyTank, Rarity: Common
Name: Lumberjack, Elixir: 4, Attack: 75, Defence: 50, Health: 65, TripleDraftRole: AntiTank, Role: HeavyTank, Rarity: Legendary
Name: Barbarians, Elixir: 5, Attack: 50, Defence: 75, Health: 70, TripleDraftRole: AntiTank, Role: HeavyTank, Rarity: Common
Name: Cannon, Elixir: 3, Attack: 10, Defence: 50, Health: 50, TripleDraftRole: AntiTank, Role: Building, Rarity: Common
Name: Tesla, Elixir: 4, Attack: 10, Defence: 65, Health: 60, TripleDraftRole: AntiTank, Role: Building, Rarity: Common
Name: BombTower, Elixir: 4, Attack: 15, Defence: 65, Health: 65, TripleDraftRole: AntiTank, Role: Building, Rarity: Rare
Name: InfernoTower, Elixir: 5, Attack: 10, Defence: 80, Health: 75, TripleDraftRole: AntiTank, Role: Building, Rarity: Rare
Name: Prince, Elixir: 5, Attack: 75, Defence: 70, Health: 75, TripleDraftRole: MiniTank, Role: HeavyTank, Rarity: Epic
Name: DarkPrince, Elixir: 4, Attack: 65, Defence: 50, Health: 70, TripleDraftRole: MiniTank, Role: MiniTank, Rarity: Epic
Name: Knight, Elixir: 3, Attack: 35, Defence: 45, Health: 70, TripleDraftRole: MiniTank, Role: MiniTank, Rarity: Common
Name: Valkyrie, Elixir: 4, Attack: 50, Defence: 70, Health: 75, TripleDraftRole: MiniTank, Role: MiniTank, Rarity: Rare
Name: Miner, Elixir: 3, Attack: 45, Defence: 25, Health: 50, TripleDraftRole: MiniTank, Role: MiniTank, Rarity: Legendary
Name: IceGolem, Elixir: 2, Attack: 15, Defence: 35, Health: 70, TripleDraftRole: MiniTank, Role: Distraction, Rarity: Rare
Name: RoyalGhost, Elixir: 3, Attack: 40, Defence: 35, Health: 50, TripleDraftRole: MiniTank, Role: MiniTank, Rarity: Legendary
Name: Fisherman, Elixir: 3, Attack: 30, Defence: 50, Health: 45, TripleDraftRole: MiniTank, Role: MiniTank, Rarity: Legendary
Name: GoblinGang, Elixir: 3, Attack: 45, Defence: 45, Health: 30, TripleDraftRole: Distraction, Role: Distraction, Rarity: Common
Name: Guards, Elixir: 3, Attack: 35, Defence: 50, Health: 40, TripleDraftRole: Distraction, Role: Distraction, Rarity: Epic
Name: Tombstone, Elixir: 3, Attack: 15, Defence: 55, Health: 50, TripleDraftRole: Distraction, Role: Building, Rarity: Rare
Name: Goblins, Elixir: 2, Attack: 30, Defence: 30, Health: 30, TripleDraftRole: Distraction, Role: Distraction, Rarity: Common
Name: IceSpirit, Elixir: 1, Attack: 15, Defence: 35, Health: 15, TripleDraftRole: Distraction, Role: Distraction, Rarity: Common
Name: FireSpirit, Elixir: 1, Attack: 25, Defence: 25, Health: 15, TripleDraftRole: Distraction, Role: Distraction, Rarity: Common
Name: SkeletonArmy, Elixir: 3, Attack: 40, Defence: 50, Health: 20, TripleDraftRole: Distraction, Role: Distraction, Rarity: Epic
Name: Skeletons, Elixir: 1, Attack: 20, Defence: 30, Health: 10, TripleDraftRole: Distraction, Role: Distraction, Rarity: Common
